Complexity,Loss,Equation
1,17.62936,"2.3404503"
3,5.4060426,"x0 + -1.6595451"
5,3.292545,"(x0 + -2.5581622) * 1.6232446"
7,2.0291383,"((x0 * x0) * 0.2048094) + -2.0508873"
9,2.0093236,"(x0 + 2.2328916) * ((x0 * 0.23278956) + -0.7588704)"
10,1.0703816,"((cos(x0 * -4.011331) + x0) + -2.6085305) * 1.6488388"
12,0.5070307,"(cos(x0 * 3.9992218) + ((x0 * x0) * 0.20242502)) + -2.0256987"
14,7.881136e-7,"((cos(x0 * 4.0000424) * 1.9995269) + (x0 * (0.20001133 * x0))) + -2.0001693"
16,7.879153e-7,"((x0 * (x0 + (x0 * -0.7999887))) + (cos(x0 * 4.0000424) * 1.999527)) + -2.000169"
18,7.4800454e-7,"(-1.9996578 + ((x0 + ((x0 * -0.7999482) + -0.00034426895)) * x0)) + (cos(x0 * 4.0000386) * 1.9994972)"
20,7.473753e-7,"(((((x0 * -0.79994816) + x0) + -0.00034431097) * x0) + -1.9996576) + (cos((x0 + 3.6072165e-6) * 4.0000367) * 1.9994974)"
22,7.461915e-7,"((cos((x0 * 4.0000267) + 6.0297352e-5) * 1.9995013) + (((((x0 + 0.14004186) * -0.7999475) + x0) + 0.11167708) * x0)) + -1.9996516"
23,7.45344e-7,"((cos(x0 * 4.0000396) * 1.99951) + ((x0 * (((x0 + 0.00021576216) * -0.7999678) + x0)) + -1.9999528)) + (sin(x0) * 0.00015902333)"
25,7.4070476e-7,"((((((x0 + 0.14003535) * -0.799948) + 0.11167741) + x0) * x0) + (cos((x0 * 4.000034) + (cos(x0) * 8.725527e-5)) * 1.9995021)) + -1.9996544"
26,7.4050286e-7,"((((((x0 + 0.14003535) * -0.799948) + 0.11167741) + x0) * x0) + (1.9995021 * cos((4.000034 * x0) + (sin(cos(x0)) * 8.725527e-5)))) + -1.9996544"
27,6.3186764e-7,"((cos(((cos(x0 * x0) * -7.6660675e-5) + 4.0000496) * x0) * 1.9994514) + (x0 * ((((x0 + 0.14002496) * -0.79995203) + x0) + 0.1116919))) + -1.999662"
29,6.000547e-7,"((cos(x0 * (((x0 * -1.807138e-5) * cos(x0 * x0)) + 4.000046)) * 1.9994619) + (x0 * ((x0 + 0.111680456) + ((x0 + 0.14003538) * -0.7999493)))) + -1.9996659"
30,5.935868e-7,"(x0 * (((x0 + 0.14003538) * -0.7999493) + (x0 + 0.111680456))) + ((cos(x0 * ((x0 * (sin(cos(x0 * x0)) * -1.807138e-5)) + 4.000046)) * 1.9994619) + -1.9996659)"
