Complexity,Loss,Equation
1,8.16013,"x0"
3,5.4060426,"x0 + -1.6594578"
5,3.292545,"(x0 * 1.6232562) + -4.1525826"
7,2.0291383,"((x0 * x0) * 0.20480855) + -2.0508533"
9,2.0093236,"((x0 * (x0 + -1.0264829)) * 0.23278692) + -1.6950939"
10,1.0703819,"(x0 + (cos(x0 * -4.0112906) + -2.6085026)) * 1.6487898"
12,0.5559692,"(0.20001169 * (x0 * x0)) + (cos(3.9990594 * x0) + -1.7576686)"
15,0.27752408,"((x0 * 0.1945223) + 0.7266657) * ((cos(cos(x0 + x0)) * -4.2466145) + x0)"
16,0.22509788,"((x0 + cos(x0 * -0.602966)) + (cos(cos(x0 + x0)) * -3.5552042)) * 2.0776362"
17,0.06478591,"((((x0 + -9.655146) * cos(cos(x0 + x0))) + 4.9455957) * 0.28522095) * (x0 + 2.4920115)"
19,8.528074e-7,"(((cos(x0 + x0) * cos(x0 + x0)) * 3.9990594) + -3.9997177) + ((x0 * 0.20001286) * x0)"
21,8.525332e-7,"(((x0 * x0) * 0.20001292) + 3.0293298) + (((cos(x0 + x0) * cos(x0 + x0)) + -1.7576778) * 3.9990513)"
23,7.5804246e-7,"(((cos(x0 + x0) * sin(x0 + (x0 + -4.7122564))) + -0.99998266) * 3.9990118) + ((x0 * (x0 + -0.0024860683)) * 0.2000704)"
25,7.5181487e-7,"(((sin(x0 + (x0 + -4.7122245)) * cos(x0 + x0)) + -1.5851746) * 3.9989777) + (((x0 * (x0 + -0.0019798083)) * 0.20005801) + 2.340019)"
28,7.5179713e-7,"(((cos(x0 + x0) * sin((x0 + -4.7122245) + x0)) + -1.5851746) * 3.9989777) + (((sin(x0 * -0.0019798123) + (x0 * x0)) * 0.20005801) + 2.340019)"
